,리뷰,별점,리뷰자 평균 평점,리뷰자 누적 리뷰 개수,영업 시간,이미지url,가게명,가게 주소,메뉴,카카오 url,업종
1,울산에서 제일 맛집인거같해요,5,5.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
2,학생 정도 돼보이는 알바생 되게 불친절해요,2,2.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
3,진정한 레전드 강추 입니다 후회 없내요,5,5.0,2,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
4,JMT,5,5.0,2,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
5,두번가세요 세번가세요 진심으로,5,5.0,2,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
6,괜찮아요 근데 ㅎ 궁금한건 그리 기다려 먹을만한 집인가….불친절을 감수해야할 정도의 집인가..ㅎㅎ 였음 ^,3,3.1,322,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
7,"여기 고추튀김,해물칼국수,돈까스 맛집임연령 상관없이 누구나 만족하며 먹고 기분좋게 식사마무리가능함화장실도청결함 화장실내에 가그린배치돼있는데종이컵이따로구비안돼서 컵갖고화장실들어가야함",5,3.9,11,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
8,양호,4,3.5,2,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
9,,4,4.6,91,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
10,,4,4.6,239,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
11,"대기실은 관리 안 하시나요? 바닥은 꽝꽝 얼어서 지나가는 사람마다 넘어질뻔 하고  번호표는 없는데 왜 적어 놓으시는 건가요? ""혹시 5시부터 들어 갈 수 있나요? 하니깐 아 네 ㅋㅋㅋㅋㅋㅋㅋㅋ "" 이런 식으로 말하시고 기분이 좀 그렇네요 항상 여기만 왔는데 이제는 다신 안 올 거 같습니다 음식 먹으러 왔는데 기분만 상해서 가네요해감은 제대로 안 되서 이물질 씹혀요",1,1.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
12,고추튀김 진짜 최고임. 근데 동죽 해감이 너무 안돼서 외상후스트레스장애 생겼어요. 해물칼국수는 어디가서도 못 먹을듯 ㅠㅠ,4,4.2,21,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
13,해물칼국수 맛있어요!30분 정도는 기꺼이 기다릴 수 있는 맛.주말보다는 평일 점심때 가면 좋은 듯,5,4.8,9,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
14,예전에 맛나게 먹은듯 하여 오늘 직접 찾아가 해물칼국수와 고추튀김을 포장주문해서 집에 왔습니다. 근데 고추튀김은 튀긴지 3일은 된듯한 비주얼에 해물은 동죽이 제대로 해감도 안된듯ᆢ초심은 어디갔나요?,1,1.5,2,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
15,,1,1.9,16,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
16,맛 양 좋아요. 다만 대기시간이 오래걸립니다. 음식 나오는시간도 15분은 걸리고요,5,2.1,7,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
17,해물칼국수 1인분에들어있는.조개의양 입니다싱싱함은 기본담에 또올겁니다,4,3.3,62,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
18,이집 맛있어짐,4,2.8,73,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
19,해물칼국수랑 튀김은 괜찮은데...직원이 계산실수를 ㅠ500원 더 냈음. 500원 받으러 다시 차돌려 가는것도 좀 그래서  걍 옴.,3,1.7,3,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
20,"이집이 맛집이란 정보를 득하고..30분대기후 ~ 주문하고 20분후 주문한 매운칼국수, 해물칼국수,고추튀김 나와 먹고난 솔직한 후기 올립니다.1. 매운칼국수   솔직히 무슨맛있지 아리까리...   첫맛은 후추맛이 매우강하고..   끝에 산초맛이 느껴지는데...   매운맛은 또 얼마나 강한지..   별로 기분좋은 맛은 아님..실망 2.얼큰칼국수   국물맛은 이것또한 후추맛이   매우강함.(별루~~)   동죽은 싱싱하고 마니 넣어줌.   여하튼 이제까지 먹어본 칼국수   맛과 동털어진 맛이랄까..3. 고추튀김  갓 튀겨나와 뜨겁게 먹는 느낌조음.  안에 들어 있는 고기맛은 싱거움.  찍어먹는 소스또한 싱거움.4. 샐러드 맛있음.(특히감자)     땅콩, 완두콩 맛있음     김치 먹을만하( 이집은 사이드     음식이 더 맛있는거 같음)※ 두번다신 내돈 내고 먹고 싶지 않음..",1,1.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
21,"해물칼국수, 고추튀김 맛있음 매운칼국수 보통 돈까스 괜찬음",4,3.1,38,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
22,찐맛집 ㅠㅠㅠㅠ,5,4.6,190,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
23,좋아요!  주차 공간 없고  대기시간 기다림이 필요해요.,4,4.0,6,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
24,,1,4.5,11,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
25,,5,5.0,381,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
26,깔끔하게 맛있게  음식이 나와요,5,5.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
27,짜요 조개짠맛 계속우러나요파 너무많고 먹고 얼마후 손이 저릴만큼붓더라구요  제겐 안맞네요,2,4.0,3,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
28,사람마다 개인적인 맛은 있겠지만 나는 돈주고 사먹기에는 너무 돈이 아깝다매운 칼국수가 산초향만 강하고 얼큰한 맛은 전혀 없음그나마  얼큰이 칼국수와 전은 아주 조금 덜함역시 대전이 칼국수는 맛있어,1,1.0,1,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
29,저렴하고 맛있는데 진짜 너무 기다려야 해요. 매장도 좁고 회전도 빨리 안돼서요. 대기실도 너무 덥고 밖에도 덥고 심지어 가게도 시원하지가 않아서 근처 다른 칼국수집에서 밥 먹고 고추튀김만 포장해가니까 딱 좋네요.,2,3.6,11,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
30,맛있어요 또 먹고 싶군요 튀김,5,5.0,8,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
31,고추튀김..뭔가 만두느낌인데 부드럽게 맛있어요.해물칼국수 해물이 많은건 장점이면 장점인데 너무 짜요....그리고 2시간 기다렸는데 손님많은거치고 대체적으로 직원분들 너무 느긋해보임..브레이크타임 이전 마지막 손님인데 그렇게 바쁜거도 아니고 앞에 손님 먹은거 구석이 그대로있는데 마음이 급하신건지 빨리닦는다고 닦는데 대충 닦고감..다른 직원불러서 다시닦아달라니깐 그 직원분은 그냥 느긋하게 대충 닦음...직접 닦으니 처음에 닦아주시던 분이 사과하면서 다시 닦아주심..날파리같은거 김치에 붙은건 뭐 자기가 붙었으니 그려러니 하지만 그래도 사람 앉아먹는 바닥인데 청소가 된건지 안된건지..휴지에 손님들 먹다가 튄 파편같은거 있는데 진짜 손하나 안대시더군요.같이 간 일행 흰양말이였는데 나올때 양말이 시커멓게 될정도..고추튀김은 정말 인정합니다.고추튀김만..솔직히 칼국수를 이렇게 2시간동안 웨이팅해서 먹을 정돈 아닌듯..고추튀김이면 몰라도..,2,3.6,22,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
32,칼국수 기대 이하,1,3.4,45,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
33,한시간 가다렸어요. 매운칼국수는 산초랑 방아 향이 너무 강해서 별로애요. 해물칼국수는 국물이 시원하고 약간 짜지만 맛있습니다. 튀김은 고기만두 느낌도 나고 좀 색다른 맛입니다. 영업시간이 카카오맵에 등록된 시간과 달라서 그런지 마감후에도 사람이 계속 옵니다. 주방과 홀은 체계가 잘 잡혀있지 않아서 매운 칼국수 받아서 반정도 먹은 후에 해물이 나왔습니다.,3,2.2,5,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
34,JMTJMTJMT와우 맛있다,5,4.5,91,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
35,국물맛 굿,4,3.6,8,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
36,칼국수보다는 고추튀김이 더 맛있음,3,4.2,57,화~일 11:30 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1A4EAC9A1D4B41CDA88BDC6A41B6090D',태양칼국수,울산 중구 함월14길 54 1층 (우)44422,해물칼국수 매운칼국수 비빔국수 깻잎전 고추튀김 돈가스,https://place.map.kakao.com/1283740286,칼국수
0,추천한게 다 1점 요인입니다,1,1.0,2,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
1,언양에서 밥먹고 카페찾다가 도착한곳주차장이 엄청넓고 가게도 큼빵도엄청종류가많길래 와 맛있겠다하고 구경하다가 애플파이랑 몽블랑초코? 등등 고름 커피나 차에 어울릴만한 빵과 먹었음 빵이 그냥 전체적으로 동네빵집보다 못한맛..?  애플파이는진짜인생 최악 밖에던지고싶었음 쇼콜라클래식은  뭔 퍼석퍼석하고 단맛이거의없어서 잘못만들었나했음 어르신들많아서 그런가?건강빵임  플레이팅만 잘해놨고 하ㅜ  고로케나 찹쌀떡같은거도있는데 괜히 그거만 잘나가는게 아닌거같음 근데그건 음료랑은좀...안어울리는거아닌가 ( top5메뉴라고 앞에 있는데 그건 맛있긴함 근데 고로케하나당3천원....어딜가도먹을수있는 고로케빵임)3층까지있고 자리는 엄청 많아서 사람들이 아무리많아도 앉아서먹을수있다 근데  사람이 많아서  시끄러움 어르신들이 거의80퍼를 사용중음료는 평타 가격이 괜찮다  빵으로승부보는곳이라 그런듯함나중에 지나가다 커피랑 다른빵도 맛보러오긴할듯 크기가커서 압도됨 사진도 이쁘게찍을수있고 주변이 탁 트여서 이쁨,3,4.3,13,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
2,커피가 저렴하네요경치도 좋고,5,3.0,2,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
3,빵집과 커피가 있어 아주 좋구요주차공간 아주 넓고 좋습니다빵도 가격이 그리비싼편도 아니고 맛도좋아요커피가격도 착한편이네요,4,3.5,10,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
4,어마어마하게 큼,5,3.8,34,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
5,,4,4.8,141,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
6,"딸기 치즈 브라우니였나, 거기서 털실인지 털인지 실인지 3~4cm의 길죽한 이물질 나옴. 오픈 주방이라 이해해 달라고 해서 환불받고 끝냄.오픈주방이니까 위생은 감안해야.",1,1.0,3,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
7,,5,4.3,52,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
8,빵 늘 맛있고 풍경 예쁜 곳,5,3.9,10,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
9,일단  인테리어가 잘못 되어서(타일바닥) 소음이 엄청납니다.와이파이가  안  터집니다.,1,2.5,14,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
10,팥빵 맛남,5,4.3,49,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
11,,5,5.0,2,매일 09:00 ~ 21:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F200809EC76604182B5DEA57D0C2FFE6E',해월당 울산본점,울산 울주군 상북면 등억알프스로 245 (우)44952,아메리카노 카페라떼 바닐라라떼 딸기라떼 단호박라떼,https://place.map.kakao.com/1432751727,카페
